AmountSaved,节省金额
XM_Acceptor,收受机
XM_CashStatus,现金状况
XM_CashStatusLeadthru,选择所需功能
XM_CoinAcceptor,硬币收受机
XM_CoinOverflow,硬币溢出
XM_CoinOverflowText,溢出
XM_CoinRecycler,硬币收款找零机
XM_Coins,硬币
XM_NoteOverflow,纸币溢出
XM_NoteOverflowText,溢出
XM_NoteRecycler,纸币收受找赎机
XM_Notes,纸币
XM_PurgeOperationText,清除操作
XM_TerminalNumber,终端编号
XM_TotalCount,总计数：
XM_TotalValue,总金额：
XM_CoinsSubtotal,硬币小计：
XM_NotesSubtotal,纸币小计：
XM_GrandTotal,总计：
XM_PurgeInstruction,清除操作：发现被拒收的纸币后，请从钱箱移开被拒收的纸币。 请到结帐通道检查设备。
XM_RAP_NegativeAlert,发现负数。 请到结帐通道检查设备。
XM_AreYouSure,确定要执行下列操作吗？
XM_Attendant,店员
XM_Backspace,退格
XM_BillAcceptor,纸币收受机
XM_BillDispenser,纸币找赎机
XM_Bins,箱
XM_BothDispenseFailure,未能找赎%s。\n现金不足或找赎机出错。
XM_CancelChanges,取消更改
XM_CannotCompleteTransfer,无法完成转入。钱箱无足够空间。请清空钱箱后执行此操作。
XM_CashManagement,现金管理
XM_CashManagementReport,现金管理报告
XM_CashRemove,移开现金
XM_CashRemoveLeadthru,选择所需功能
XM_CashReplenishLeadthru,选择所需功能
XM_CashReplenishLeadthru1,请放入硬币或选择所需功能
XM_CashReplenishLeadthru2,请放入现金或选择所需功能。
XM_CashReplenishLeadthru3,"完成后触摸""退出""。"
XM_CashReplenishment,补充现金
XM_ChangeInCount,计数变更
XM_ChangeInValue,金额变更
XM_Clear,清除
XM_ClearPrompt1,完成后请选择其它功能或按“退出”按钮 。
XM_ClearPrompt2,选择其它功能或按“退出”按钮。
XM_CoinAcceptorOffline,收受机无响应。\n\n请关掉终端然后重新启动。
XM_CoinDispenseFailure,未能找赎%s。\n现金不足或找赎机出错。
XM_CoinDispenser,硬币找赎机
XM_CoinManagement,硬币管理
XM_ConfirmAction,确认操作
XM_ConfirmCoinDispense,* 找赎硬币\n找赎金额： %s\n找赎数目： %d
XM_ConfirmEmptyCoinAcceptor,* 投币计数归零\n需要清除的金额： %s
XM_ConfirmEmptyCoinOverflow,* 把硬币溢出计数归零\n删除： %s
XM_ConfirmEmptyNoteAcceptor,* 把纸币收受器计数归零\n需要清除的金额： %s
XM_ConfirmEmptyNoteOverflow,* 把钱箱计数归零\需要清除的金额： %s
XM_ConfirmFillLoaderCassette,* 设定纸币计数\n新金额： %s\n新计数： %d
XM_ConfirmManualCoinEmpty,* 硬币计数归零\n需要清除的金额： %s\n需要清除的计数： %d
XM_ConfirmManualCoinFill,* 设定硬币计数\n新金额： %s\n新计数： %d
XM_ConfirmManualNoteEmpty,* 把纸币计数归零\n需要清除的金额： %s\n需要清除的计数： %d
XM_ConfirmManualNoteFill,* 设定纸币计数\n新金额： %s\n新计数： %d
XM_ConfirmNoteDispense,* 找赎纸币\n需要找赎的金额： %s\n需要找赎的数量： %d
XM_ConfirmTransferNotesToOverflow,* 把纸币转移到钱箱\n转移金额： %s\n转移数量： %d
XM_Count,计数
XM_DispenseCupFull,硬币找赎口已堆满硬币。请移开硬币以完成找赎。
XM_DispenseCupFullPreemptive,请拿好找赎的零钱\n若硬币找赎口已满，请迅速清空。系统将暂停找赎直至找赎口被清空。
XM_DispenseFullPreemptive,请取走纸币与硬币\n纸币按捆找赎，每捆15张纸币。 将暂停找赎，直到所有纸币被取走。 若退币槽已满，请立即清空。 退币槽被清空之前，找赎将暂停。
XM_DispenseNoteFullPreemptive,请取走纸币\n纸币按捆找赎，每捆15张纸币。 将暂停找赎，直到所有纸币被取走。
XM_DispenseSensorBlock,硬币找赎口可能已堆满硬币或传感器损坏。请移开硬币或联系维修。
XM_DispenseText,找赎
XM_DispenseThreshold,输入的数值超过了找赎可用的计数，因此系统为您输入了最大计数：%d
XM_Empty,空的
XM_EmptyCashAcceptorLT,移开现金收受机中的纸币
XM_EmptyCashBoxLT,移开钱箱中的纸币
XM_EmptyCoinAcceptor,重置硬币\n收受机
XM_EmptyCoinAcceptorLT,移开硬币收受机中的硬币
XM_EmptyCoinHopperLT,从设备中取出硬币。
XM_EmptyCoinOverflow,重置硬币溢出
XM_EmptyCoinOverflowLT,移开溢出的硬币
XM_EmptyLoaderCassetteLT,移开装载机机盒中的纸币
XM_EmptyNoteAcceptor,重置纸币\n收受机
XM_EmptyNoteCassetteLT,移开纸币盒中的纸币
XM_EmptyNoteOverflow,重置纸币溢出
XM_Enter,输入
XM_ExceededAmount,金额超过容量。需要的最高金额是%s。
XM_ExceededCapacity,计数超过容量。最大载荷计数是%d，因此系统自动输入了%d个计数。
XM_Execute,应用更改
XM_Exit,退出
XM_FastLaneReport,NCR SelfServ Checkout报告
XM_FillLoaderCassette,设置纸币计数
XM_GoBack,返回
XM_ID,收银员编号
XM_IDPrompt,输入用户名后按“输入”按钮。
XM_InvalidAmount,为%s输入的金额无效。\n请再次输入。 
XM_KeyPadEnterCoinAmount,使用键盘输入%s硬币的金额。
XM_KeyPadEnterCoinCount,使用键盘输入%s硬币数量。
XM_KeyPadEnterNoteAmount,使用键盘输入%s纸币的金额。
XM_KeyPadEnterNoteCount,使用键盘输入%s纸币的数量。
XM_KeyPadInstr,使用键盘输入计数
XM_ManualBothFillAlert,打开结帐通道门，然后把现金直接放入设备。不要把其加入收受机。
XM_ManualBothRecyclerFillAlert,打开结帐通道门，在纸币盒中放入纸币，在贮斗中放入硬币。 请勿把其放入收受器。
XM_ManualCoinDispenserEmpty,重置硬币计数
XM_ManualCoinDispenserFill,设置硬币计数
XM_ManualCoinFillAlert,打开结帐通道的门，把硬币直接放入设备。 不要把它们喂入投币机。
XM_ManualEmptyAlert,移开所有设备中的现金。
XM_ManualFillAlert,打开结帐通道门，把纸币放入纸币盒，把硬币放入硬币斗，请勿把其加入收受机。
XM_ManualNoteDispenserEmpty,重置计数
XM_ManualNoteDispenserFill,设置纸币计数
XM_ManualNoteFillAlert,打开结帐通道门，然后把纸币直接放入纸币盒。不要把其加入纸币收受机
XM_ManualNoteRecyclerFillAlert,打开结帐通道门，把纸币直接放入装载机。 请勿把其投入纸币收受器。
XM_No,否
XM_NoteDispenseFailure,未能找赎%s。\n纸币不足或纸币找赎机出错。
XM_PW,收银员密码
XM_PWPrompt,输入密码后按“输入 ”按钮。
XM_PendingText,待处理
XM_PleaseWait,正在处理... \n请等待。
XM_Print,打印现金状态
XM_PurgeCoinRecycler,清洁硬币收受找赎机
XM_PurgeNoteRecycler,清洁纸币收受找赎机
XM_ReEnter,收银员编号和密码不正确。 \n请重新输入
XM_ResetCoinsToBaseLevel,找赎硬币到\n基准水平
XM_ResetNotesToBaseLevel,把纸币转移到基准水平
XM_SelectFunc1,选择系统功能
XM_SelectFunc2,选择所需功能
XM_StoreNumber,商店＃：
XM_TransferAllNotes,转移所有纸币
XM_TransferNotesToOverflow,把纸币转移到溢出状态
XM_Update,更新
XM_Yes,是
XM_SequenceNumber,序列号
XM_CardManagement,卡管理
XM_TotalCoinsInserted,插入总计
XM_TotalNotesInserted,插入总计
XM_Value,金额
XM_TransferXCount,转移(x)数量
XM_TransferXAmount,转移(x)金额
XM_PickUpAutoAmount,提取的自动金额
XM_PickUpXAmount,提取的（x）金额
XM_TransfertoCashBoxLeadThruText,"把%s纸币转入钱箱，触摸""应用更改""。 要撤消所有待定更改，请触摸""取消更改""。"
XM_MenuDispenseFunctions,找赎功能
XM_MenuResetFunctions,归零功能
XM_MenuCashBoxTransfer,钱箱转移
XM_MenuPickUpFunctions,提取功能
XM_LeadThruCashBoxTransfer,选择所需的转移功能。\n完成后，请按“应用更改”按钮。
XM_LeadThruResetFunction,选择所需的复位功能。\n完成后，请按“应用更改”按钮。
XM_LeadThruDispenseFunction,触摸面额并输入金额\n或触摸“找赎硬币到基准水平”。
XM_LeadThruPickUpFunction,选择所需的提取功能。\n完成后，请触摸“应用更改”按钮。
XM_PurgeInstructionRecycler,清除操作：发现被拒收的纸币后，请从钱箱移开被拒收的纸币。请触摸“转移所有纸币”按钮以清除警报，然后触摸“钱箱归零”按钮。
XM_PurgeInstructionNonRecycler,清除操作：发现被拒收的纸币后，请从残币箱移开被拒收的纸币。触摸“纸币计数归零”按钮以清除警报。
XM_ReplenishInstruction,插入现金或选择面额，然后输入金额，或设置计数。\n完成后，触摸“应用更改”按钮。
XM_KeyPadEnterPickUpAmount,使用键盘输入提取的金额。
XM_InvalidPickUpAmount,输入的金额大于可转移或找赎的金额。
XM_InvalidStartingBank,配置的起始供应金额大于可找转移或找赎的金额。
XM_CalculatedPickUpAmount,计算的提取金额是%s。
XM_UnableToPickUp,无法执行提取操作。
XM_CoinAllowedDispenseExceeded,试图找赎%d硬币。最多可找赎的硬币数量是%d。
XM_InvalidPickUpAmount2,钱箱和硬币溢出槽内的钱币金额大于提取的金额。
XM_LockScreen,锁定屏幕
XM_SystemBusy,系统忙....请稍候
XM_AreYouSure_LockScreen,你确定要锁定屏幕吗？\n在设备完成任务之前，此屏幕无法解除锁定。
XM_NegativeAlert,"发现负数。可能的原因是：输入错误，或虽然把纸币放入了装载机盛放盒， 但这些纸币的计数未被输入现金管理系统。\n\n请按照以下步骤来解决该问题：\n1. 选择""添加现金""。\n2. 触摸负数面额。\n3. 输入该负数的准确金额，和/或输入放入装载机内纸币的金额。\n4. 选择""应用更改""。\n5. 选择""确认""，然后选择""退出""。"
XM_AddCashLeadthru1,投币或触摸圆筒，然后输入金额，或设定计数。
XM_AddCashLeadthru2,插入现金或触摸圆筒，然后输入金额，或设定计数。
XM_AddCashLeadthru3,触摸圆筒，然后输入金额，或设置计数。
XM_CoinHopperEmpty,"硬币贮斗必须清空才能把硬币计数归零。 触摸""应用更改""之前，请清空每个硬币贮斗箱。"
XM_CollectRemainingCoins,找赎完成后，取走出币槽中的硬币。
XM_FPIDPrompt,请输入您的用户名，然后按“输入”按钮，或把手指放到指纹识别器上登录。
XM_LoanFailure,放款失败
XM_LoanFailureLeadthru,放款被拒绝 选择所需功能。
XM_UndoLoan,撤消放款
XM_CommitLoan,进行放款
XM_PickUpFailure,提款失败
XM_PickUpFailureLeadthru,提款被拒绝。 选择所需功能。
XM_UndoPickUp,撤消提款
XM_CommitPickUp,进行提款
XM_ManualRemoveCashAlert,取走钱箱的现金并取走硬币溢出容器中硬币，以便撤消放款。\n\nNotes\n取走的数量：%d\n取走的金额：%s\n\nCoins\n取走的数量：%d\n取走的金额：%s
XM_POSRejectedLoanPickUp,POS机拒绝放款/提款：%s /%d已拒绝\n
XM_LoanPickUpCashierOverrides,收银员编号%s强行放款/提款：%s/%d已允许进行\n\n。
XM_PlaceJammedBill,取出钱箱，放好里面卡住的纸币。
MinMaxFastLaneBtnPrimaryTxt,最小化SelfServ Checkout
MinMaxFastLaneBtnSecondaryTxt,最大化SelfServ Checkout
MinMaxFastLaneBtnPrimaryShowConfirmation,"最小化SelfServ Checkout ，请按""最小化SelfServ Checkout""按键。"
MinMaxFastLaneBtnSecondaryShowConfirmation,"最大化SelfServ Checkout，请按""最大化SelfServ Checkout""键。"
StopStartFastLaneBtnPrimaryTxt,终止SelfServ Checkout
StopStartFastLaneBtnSecondaryTxt,开启SelfServ Checkout
SwitchToRAPBtnPrimaryTxt,切换到RAP
ShutdownSystemBtnPrimaryTxt,关掉整个系统
RebootSystemBtnPrimaryTxt,重新启动整个系统
VolumeBtnPrimaryTxt,音量控制
EventViewerBtnPrimaryTxt,事件查阅器
GenerateLogBtnPrimaryTxt,生成诊断记录文件
ExitFastLaneAndRunProfileBtnPrimaryTxt,终止SelfServ Checkout并运行档案管理器
ExitFastLaneAndRunProfileBtnSecondaryTxt,运行档案管理器
TerminalInfoBtnPrimaryTxt,终端信息
MinMaxRAPBtnPrimaryTxt,最小化RAP
MinMaxRAPBtnSecondaryTxt,最大化RAP
MinMaxRAPBtnPrimaryShowConfirmation,要最小化RAP，请按“最小化RAP”键。
MinMaxRAPBtnSecondaryShowConfirmation,"要最大化RAP,请按 “最大化RAP”键。"
StopStartRAPButtonPrimaryTxt,终止RAP
StopStartRAPButtonSecondaryTxt,开启RAP
RapConfigureBtnPrimaryTxt,RAP Configure
SwitchToFastLaneBtnPrimaryTxt,切换到SelfServ Checkout
ExitRAPAndRunProfileBtnPrimaryTxt,终止RAP并运行档案管理器
ExitRAPAndRunProfileBtnSecondaryTxt,运行档案管理器
UtilityFunctionsTitle,NCR公司的SelfServ Checkout系统\n实用功能
StartTitle,系统启动
SystemStartup,正在启动系统...请稍候
TerminalID,终端编号：
InterfaceVersion,软件版本：
TrainingProgramPrimaryTxt,培训程序 
LaunchPadNet_OperatorIDText,操作员编号：
KeySwitchOperatorID,键盘锁
LaunchPadNet_SignOnButtonText,登录
LaunchPadNet_SignOffButtonText,退出登录
SignedOffButtonText,退出
Exit,退出全部
LaunchPadNet_ReturnToShoppingButtonText,返回
PickListEditor,采购清单编辑器
RunADDTxt,下次重启时运行ADD(设备自动检测)
TouchWareTxt,校准触摸屏
DiagConfirm,您确定要生成诊断日志文件吗？
ProfileManagerFLConfirm,您确定要终止SelfServ Checkout并运行档案管理器吗？
ProfileManagerRAPConfirm,您确定要终止RAP并运行档案管理器吗？
ProfileManagerConfirm,您确定要启动档案管理器吗？
EventViewerConfirm,您确定要启动事件查看器吗？
TrainingConfirm,您确定要启动培训程序吗？
PicklistConfirm,您确定要开启采购清单编辑器吗？ 
RunADDConfirm,你确定要在下次重启时运行ADD (自动设备检测) 吗？
CalibrateConfirm,您确定要校准触摸屏吗？
ShutdownConfirm,您确定要关闭整个系统吗？
RebootConfirm,您确定要重新启动整个系统吗？
CloseAllConfirm,您确定要退出所有应用程序并返回桌面吗？
VolumeConfirm,您确定要调整音量控制吗？
TerminalInfoConfirm,您确定要查看终端信息吗？
StopFastLaneConfirm,您确定要终止SelfServ Checkout吗？
StopRAPConfirm,您确定要终止RAP吗？
StartFastLaneConfirm,您确定要开启SelfServ Checkout吗？
StartRAPConfirm,您确定要开启RAP吗？
WindowsLogOnTxt,登录Windows 
WindowsLogOnConfirm,您确定要退出所有应用程序并以新用户身份登录吗？
YesText,是
NoText,否
CommandPromptPrimaryTxt,命令提示符
CommandPromptConfirm,您确定要启动命令提示符吗？
RSMLEPrimaryTxt,零售系统管理员LE
RSMLEConfirm,您确定要开启零售系统管理员LE吗？
OperatorRegistrationUtility,店员注册实用程序
LaunchPadNet_EnterIDFpLeadthru,请输入您的用户名，然后按“输入”按钮，或把手指放到指纹识别器上登录。
LaunchPadNet_ReEnterIDFpLeadthru,登录无效。 请使用键盘或指纹重新登录。
LaunchPadNet_ClearButtonText,清除
LaunchPadNet_EnterButtonText,输入
LaunchPadNet_GoBackButtonText,返回
LaunchPadNet_SpaceButtonText,空格
LaunchPadNet_BackSpaceButtonText,退格
LaunchPadNet_EnterIDLeadthru,请用下面的小键盘输入身份号码：
ReEnterIDLeadthru,身份号码或密码不正确。请使用下面的键盘重新输入。
LaunchPadNet_EnterPasswordLeadthru,请用下面的小键盘输入密码：
CancelButtonText,取消
LaunchPadNet_LoggingInLeadthru,正在登录..请稍候。
LaunchPadNet_ShiftButtonText,Shift键
LaunchPadNet_SignedOffButtonText,已退出登录
LaunchPadNet_ReEnterIDLeadthru,身份号码或密码不正确。请用下面的小键盘重新输入。
LegalCaptionText,法律说明 该系统仅供授权人员使用。 登录到该系统的行动表明，你接受所有信息安全政策和标准上所述的条款和条件。 未经授权的个人使用该系统，或为了达到未经授权的目的使用该系统，是违反联邦和/或州法律的行为。 本公司有权采取任何必要的行动来保护授权用户、知识产权和其它信息资产。 使用本系统的个人，在该系统上的所有活动将受到监视。 使用本系统的任何人明确批准被监视，并被告知，若该监视表明可能存在犯罪活动，则系统工作人员将把监视资料作为证据提供给执法官员。
SignBelow,请在下面签名。
PageIndicatorLabelFormat,第{0}页，共{1}页
SignOnTitle,NCR SelfServ Checkout Log In
HH_TransactionCancelLeadThru2,Transaction cancelled.
AlertStatusTextOff,
AlertStatusTextOn,!!!
InitialText,.
XM_CassetteMissing,Bill Cassette is not in the unit. Put Bill Cassette back into the unit.
XM_Cassette,Cassette
XM_CollectFailure,The collect operation resulted in failure.
XM_TotalRemovedText,Total Removed: %s
XM_TotalColectedText,Total Collected: %s
XM_TotalAddedText,Total Added: %s
XM_OperatorID,Operator ID %s
XM_ManualRemoveCashAlertGlory,Remove cash from the cassette to undo loan.\n\nBills\nCount to remove: %d\nAmount to remove: %s
XM_LeadThruGloryFunction,"Touch denomination and enter amount or touch ""Collect""."
XM_InitializeError,The system encounters an error to be corrected.
XM_GrandTotalText,Grand Total: %s
XM_EmptyCassetteAndRejectBin, Remove bills from Bill Cassettes and Reject Bin.
XM_Collect,Collect
XM_CashUnbalance,Discrepancy error occurred in the recycler.
XM_GloryDispenseNoteFullPreemptive,Please Take Bills\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken.
XM_GloryDispenseFullPreemptive,"Please Take Bills and Coins\nBills are dispensed in bunches of 10. Dispensing will pause until all bills are taken. If coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_GloryDispenseCupFullPreemptive,"Please Take Coins\nIf coin return is full, empty promptly. Dispensing will pause until bowl is emptied."
XM_NegativeAlert_Remove,"Negative number found. Possible causes: keying error occurred, or bills were placed in the loader cassette, but the counts for these bills were not entered in Cash Management.\n\nFollow steps below to resolve:\n1. Select ""Exit"" then select ""Add Cash"".\n2. Touch the denomination with the negative number.\n3. Enter the exact dollar amount of the negative number and/or the amount placed in the loader.\n4. Select ""Apply Changes"".\n5. Select ""Yes"" to confirm and then ""Exit""."
DueCart,应办事项
ScotApp_1742,袋子不能使用
ScotApp_71,71unused
ScotApp_61,61unused
ScotApp_51,无法扫描优惠券
ScotApp_41,限售商品
ScotApp_31,优惠券
ScotApp_1055,1055unused
ScotApp_11,11unused
ScotApp_789,请刷卡。\n请检查购物篮中的其它商品。
ScotApp_689,  销售：      %d
ScotApp_589,已载入Device Factory。
ScotApp_389,正在处理卡
ScotApp_289,289unused
ScotApp_189,已载入选项。
ScotApp_91,91unused
ScotApp_773,节省金额：
ScotApp_673,请向顾客提供%s的找零。
ScotApp_1264,USERDEFINED6
ScotApp_473,媒介水平低
ScotApp_373,打印机喷墨堵塞
ScotApp_989,989unused
ScotApp_889,%s\n实际重量(%s)： %s\n预计重量(%s)： %s
ScotApp_1520,请参阅设备手册纠正该错误。
ScotApp_1042,认可账单：\n本账单已打印，因为单证\n背书失败。请把本\n账单附到相应的单证上。 \n -------------------------------------- -\n
ScotApp_973,973unused
ScotApp_873,驾照号码、身份号码输入项：
ScotApp_1737,自备袋子
ScotApp_752,昨天总结
ScotApp_652, **该UPC通用产品编号没有WLDB输入项
ScotApp_1054,1054unused
ScotApp_452,检查电缆是否牢固地插入硬币收受器一侧。
ScotApp_352,更新
ScotApp_252,\n硬币找赎机\n\n清除硬币找赎机堵塞。
ScotApp_152,152unused
ScotApp_1310,* 取下纸币收受器。\n* 再插入纸币收受器，直到其卡到位。\n* 检查纸币收受器马达是否开启及LED指示灯是否为绿色。
ScotApp_661,(默认)
ScotApp_952,添加零重量
ScotApp_852,三件商品
ScotApp_1527,请参阅设备手册纠正该错误。
ScotApp_1838,检查商品 
ScotApp_731,总结
ScotApp_631,卡主姓名：
ScotApp_531,\n签名识别设备故障
ScotApp_331,从袋秤上移开商品。键盘停用。
ScotApp_231,231unused
ScotApp_131,请把优惠券丢入其收集容器。
ScotApp_1736,请把您的袋子放到装袋台，完成后请按“完成”按钮。
ScotApp_1250,PIP信用卡
ScotApp_831,831unused
ScotApp_300,300unused
ScotApp_1306,已找赎%s零钱
ScotApp_710,710unused
ScotApp_610,商品重量：
ScotApp_510,再次登录
ScotApp_310,卡箱中的卡量不足
ScotApp_210,210unused
ScotApp_110,称重商品
ScotApp_1526,请参阅设备手册纠正该错误。
ScotApp_1126,硬币找赎机故障。\n\n若当前找赎机上有开关，请检查该开关。
ScotApp_1040,签名
ScotApp_810,      正在接受训练
ScotApp_1735,请将您的袋子放好
ScotApp_1257,PIP食品券
ScotApp_704,小键盘输入
ScotApp_604,扫描一件商品。
ScotApp_504,504unused
ScotApp_404,404unused
ScotApp_304,选择容器
ScotApp_204,正在把文件复制到服务器...
ScotApp_104,104unused
ScotApp_1269,USERDEFINED11
ScotApp_904,商品重量批准
ScotApp_804,804unused
ScotApp_1047,需要背书。请等待店员协助。
ScotApp_1478,请参阅设备手册纠正该错误。
ScotApp_1134,纸币盒已满。
ScotApp_1734,我已自带袋子
ScotApp_1256,PIP电子转账
ScotApp_1512,请参阅设备手册纠正该错误。
ScotApp_1465,收款找零机设备的错误
ScotApp_1721,培训模式的交易
ScotApp_1890,正在处理...
ScotApp_1243,会员优惠卡
ScotApp_1544,请参阅设备手册纠正该错误。
ScotApp_63,否
ScotApp_53,53unused
ScotApp_43,43unused
ScotApp_33,我已解决该问题
ScotApp_1255,PIP借记检查
ScotApp_13,  %ss @ %s/%s
ScotApp_1511,请参阅设备手册纠正该错误。
ScotApp_93,扫描并装袋
ScotApp_83,83unused
ScotApp_1464,终端数量
ScotApp_1189,记入商品
ScotApp_1720,去除的重量:
ScotApp_1045,用%s支付
ScotApp_672,*** 培训模式交易 ***
ScotApp_572,输入商品代码并按“输入”按钮。
ScotApp_472,需要帮助
ScotApp_372,打印机侧向打印通信错误
ScotApp_272,检查使用过的优惠券
ScotApp_172,扫描不需要的商品，或选择收据上的商品。
ScotApp_1510,请参阅设备手册纠正该错误。
ScotApp_1701,未能找赎%s
ScotApp_972,972unused
ScotApp_872,取消暂停
ScotApp_1188,记入数量
ScotApp_1727,商品查找
ScotApp_751,今天每小时
ScotApp_651,默认
ScotApp_551,551unused
ScotApp_451,硬币收受器状态为堵塞
ScotApp_351,现金/纸张状态
ScotApp_251,251unused
ScotApp_151,请取走现金
ScotApp_951,DESCRIPTION=%s;LANEBUTTONTEXT=%s;LSWND1=%s;LSWND2=%s %s 已删除;LSWND3=%s;
ScotApp_851,两件商品
ScotApp_730,730unused
ScotApp_630,信用卡号码：
ScotApp_430,停止服务
ScotApp_330,帮助模式
ScotApp_230,现金收受器状态为拒绝状态
ScotApp_130,请把您的优惠券丢入其收集容器。
ScotApp_1726,查找后完成
ScotApp_930,检查通讯。
ScotApp_830,本人移开商品或装袋
ScotApp_193,193unused
ScotApp_1457,货币充足
ScotApp_1283,1283unused
ScotApp_724,724unused
ScotApp_624,输入的允许误差无效
ScotApp_424,输入金额
ScotApp_324,不需要日期
ScotApp_224,读卡器卡片箱已被移开
ScotApp_124,124unused
ScotApp_1469,未能向顾客找赎%s。%s\n *请检查硬币和纸币找赎机。\n *按“现金/纸张状态”按钮来填充或清除堵塞。 
ScotApp_924,924unused
ScotApp_824,暂停确定
ScotApp_576,开始支付卡偿付。
ScotApp_1247,食品券
ScotApp_1678,纸币收款找零机错误
ScotApp_1503,请参阅设备手册纠正该错误。
ScotApp_1756,从搜索结果中选择或按“返回”按钮。
ScotApp_1456,收银员号码和密码不正确。\n请再试一次。
ScotApp_1502,请参阅设备手册纠正该错误。
ScotApp_1712,“暂停”被拒绝
ScotApp_1468,收款找零机状态为无现金
ScotApp_1246,电子转账
ScotApp_75,完成
ScotApp_65,65unused
ScotApp_55,取消所有
ScotApp_45,45unused
ScotApp_35,应找零钱：
ScotApp_1258,PIP礼品卡
ScotApp_15,商品代码：
ScotApp_1711,拒绝暂停
ScotApp_1683,无法恢复的错误。请关闭该结帐通道。呼叫Gunnebo公司，并向其提供如下所示的错误信息。\n\nSafePay安全付款功能出错： %s
ScotApp_95,扫描优惠券
ScotApp_85,85unused
ScotApp_1058,协助偿付
ScotApp_1664,纸币卡住
ScotApp_797,未能找赎%s\n*检查纸币盛放盒中的纸币和纸币找赎机的堵塞。\n*确保纸币盛放盒和残钞箱上闩。\n*关闭安全门。
ScotApp_697,697unused
