AmountSaved,저장된 금액
Assistance,도움
AssistanceComing,곧 도와 드리겠습니다. 계속 진행하십시오.
Back,뒤로 이동
BagItem,이 상품을 봉투에 담아 주십시오.
BagItemCart,상품 담기
BagItemOrSkip,이 상품을 봉투에 담거나 건너뛰기를 선택합니다.
CallForHelp,도움 요청?
Cancel,취소
CancelAll,모두 취소
CancelCoupons,쿠폰 취소
CancelPayment,지불 취소
CantScanCoupon,쿠폰 스캔 불가능
CartPay,결제
Change,거스름돈:
Confirm,전체 구입 내역을 취소하시겠습니까?
ConfirmQuantity,{0}이(가) 정확합니까?
Continue,계속하시겠습니까?
CouponMessage,잠시 동안 쿠폰을 유보합니다. 구입 마지막 단계에 쿠폰을 투입합니다.
DepositCard,다 쓴 선물 카드를 쿠폰 슬롯에 투입해 주십시오.
DepositCoupon,쿠폰 투입
DepositGiftCard,선물 카드 투입
Disconnected,잠시만 기다려 주십시오...
Done,완료
Due,기한:{0}
EditCart,카트 편집
Enter,입력
EnterAmount,수량 입력
EnterCouponValue,"쿠폰 금액을 센트 단위로 입력한 후에 'OK'을 누르십시오"
EnterId,사용자 ID를 입력하십시오.
EnterPassword,사용자 패스워드를 입력하십시오.
EnterPin,PIN 입력
EnterQuantity,얼마나 가지고 계십니까?
EnterWeight,저울 위에 상품을 올려 놓으십시오:
Finish,감사합니다.
FinishAndAdd,종료 & 추가
GiftCard,선물 카드 잔액
GoBack,뒤로 이동
IncorrectLogin,부정확한 오퍼레이터 번호 및 패스워드.\n다시 시도해 주십시오.
InsertCash,현금 입금
InsertCoupon,쿠폰 삽입
InvalidBarcodeScan,상품을 보관하고 구매를 계속합니다.
Item,{0} 상품
Items,{0} 상품
ItemsAddedFormat,{0} 카트에 추가할 상품.
Language,언어
NCRCorp,NCR Corp
No,아니요
OK,OK
Or,또는
OtherPayment,다른 결제 방식
OtherPaymentMethod,다른 결제 방식
OwnBag,직접 가져온 장바구니
Paid,결제:{0}
PayAnotherWay,다른 방식으로 결제
PointsEarned,받은 포인트
PrintReceipt,영수증 인쇄
Proceed,계속
Remove,제거
RemovedItem,상품을 제거했습니다
RestrictedItem,제한 상품
ReturnToScan,뒤로 이동
ScanAndBag,"상품 코드를 스캔, 검색, 또는 입력해서 시작합니다."
ScanCoupon,쿠폰 스캔
ScanGiftCard,선물 카드 스캔
ScanNextItem,다른 상품을 스캔해 주십시오.
ScanVoucher,상품권 검색
SearchResultsFor,"'{0}'에 대한 검색 결과"
SearchWatermark,상품 이름 또는 코드 입력
SearchItemNameWatermark,Enter Item Name
SearchKeyInItem,상품 검색 또는 입력
SelectCashBack,캐시 백 금액 선택
SelectLanguage,언어 선택
SelectPaymentType,지불 유형 선택
SellBags,비닐 봉투를 몇 장 사용하셨습니까?  사용하지 않았다면 0을 입력합니다.
SignNeeded,서명 필요
SignSignature,서명 패드에 서명해 주십시오.
SkipBagging,담기 작업 건너뛰기
Space,스페이스
StartScanning,스캔 시작
StoreLogin,매장 로그인
TakeCash,반환된 현금을 받아 주십시오
TakeChange,거스름돈 받기
TakeReceipt,영수증 받기
Tax,세금
TimeRestrictedItem,시간 제한 상품
Total,총합
TouchCancel,계속 진행하십시오.
TryAgain,다시 시도
UnexpectedDecreaseMessage,상품을 장바구니 영역으로 반납해 주십시오.
UnexpectedIncreaseMessage,상품을 장바구니 영역에서 제거해 주십시오.
UsePinpad,PIN 패드 사용
VoidItem,"원하지 않는 상품을 스캔하거나 영수증에서 ""제거""를 눌러 주십시오."
Volume,수량
Yes,예
ItemNumberAmount,물품수:
WeightExpected,예상무게 :
WeightObserved,관찰된 무게 :
UnknownPriceMessage,상품 가격을 알 수 없습니다.\n곧 도움을 받으실 수 있습니다.\n\n상품을 보관한 후 계속 진행.
SetAllItemsAsideMessage,전체 구매 내역 취소됨.\n\n모든 상품들을 유보해 주십시오.
ConfirmAbortMessage,카트를 비우시겠습니까? 거래가 취소될 것입니다.
NoKeep,"아니요, 유지합니다."
NoReturn,"아니요, 거래 내역으로 다시 반환합니다."
YesEmpty,"예, 카트를 비우고 거래를 종료합니다."
YesRemove,예. 제거합니다.
HostOfflineMessage,해당 계산 통로는 현재 오프라인 상태이며  자동으로 연결을 다시 시도하고 있습니다.
LaneClosedMessage,계산 통로 닫기 완료
LoadingText,로드 중
VerifyBagsMessage,장바구니 영역에 봉투 하나 이외에 다른 것을 잘못해서 올렸다면 지금 제거해 주십시오.
HelpOnWay,곧 도움을 받으실 수 있습니다.  계속 진행해 주십시오.
OwnBagMessage,저울에 상품을 위치시켜 주십시오.
UseOwnBag,봉투/상자
AttendantMode,안내 직원 모드
AttendantTrainingMode,안내 직원 및 교육 모드
TrainingMode,PIN 패드에서 취소를 누르면 지불을 취소합니다.
ScaleBroken,"상품을 저울에서 제거한 다음 스캐너의 '저울 영점' 단추를 눌러 주십시오."
Refunded,환불:
EnterIDMessage,"사용자 ID를 입력한 다음 '입력'을 눌러 주십시오."
EnterIDText,ID 입력
EnterPasswordMessage,"패스워드를 입력한 다음 '입력'을 눌러 주십시오."
EnterPasswordText,패스워드 입력
VisualVerify,시각적으로 확인
SingleItemAddedFormat,{0} 카트에 추가할 상품.
Approved,승인됨
VoidItemBeforeCouponMessage,쿠폰이 무효화 될 때까지 관련 상품을 무효화할 수 없습니다. 상품의 쿠폰을 먼저 무효화해 주십시오.
VerifyBags,안내 직원이 봉투를 검사할 것입니다.
CancelItems,상품 취소
EnterQuantityTitle,필요 수량
SecUnExpectedIncreaseTitle,장바구니 경고
WeightMismatchTitle,도움 필요
AssistanceNeededTitle,도움 필요
CheckBasketTitle,장바구니 확인
ConfirmDebitAmountTitle,금액 승인
DropoffCouponsTitle,쿠폰을 제출해 주십시오.
InsufficientBalanceTitle,잔고 부족
OperatorPasswordStateInvalidPasswordWithFPTitle,지문 로그인 실패
PurchaseCrateTitle,상자 단위 구입
RestrictedItemTitle,제한 상품
SecBagAreaBackupTitle,뒤로 이동한 상품
SignChargeTitle,영수증 서명
TakeCardTitle,카드 받기
ContinueTitle,계속하시겠습니까?
ApprovalNeededTitle,승인 필요
IncorrectLoginTitle,정확하지 않은 숫자
RecalledItemTitle,반납된 상품
RemovedItemTitle,장바구니 경고
SetAllItemsAsideTitle,상품  유보
TakeLoyaltyCardTitle,고객 카드 받기
UnknownPriceTitle,알 수 없는 가격
ConfirmEBTAmountTitle,금액 승인
DisconnectedTitle,연결 해제됨
ShuttingDown,중단 중
NoneText,없음
SMText,매장 모드
SMLogInReceiptText,매장 모드로 로그인함
SMLogOutReceiptText,매장 모드에서 로그아웃 함
WLDBOffLineText,중량 데이터베이스: 오프라인
OperatorIDText,오퍼레이터 ID: 
SignOnButtonText,사인 온
SignOffButtonText,사인 오프
AlertText,경고:
SuspendInProgressText,보류 진행 상태 
SuspendLeadthru1,현재 거래의 보류 요청이 전달되었습니다.\n이 요청을 승인 또는 취소해 주십시오.
SuspendLeadthru2,"현재 거래를 보류했습니다.  이 요청을 승인해 주십시오.  취소하기 위해서는 NCR SelfServ Checkout 터미널에서 '뒤로 이동'을 누른 후에 취소해 주십시오."
ReceiptText,영수증:
SuspendReasonText1,보류: 일반
CancelSuspendButtonText,보류 취소
ConfirmSuspendNowButtonText,지금 보류 \n승인
ConfirmAllowSuspendButtonText,보류 허용 확인
ConfirmSuspendRequestButtonText,보류 요청 승인
CancelSuspendNowButtonText,지금 보류 취소
GoBackButtonText,뒤로 이동
CancelSuspendRequestButtonText,보류 요청 취소
CouponText,쿠폰:
SuspendReasonText2,보류: 쿠폰
CouponReceiptText,"쿠폰 %d 장, 총액 $%.2f"
SuspendNowButtonText,지금 보류
RequestSuspendButtonText,보류 요청
NotConnectedText,연결되지 않음.
ConnectingText,연결 중… 잠시만 기다려 주십시오
ApprovalNeededText,승인 필요:
SuspendReasonText3,보류: 기타
ClearRequestButtonText,요청 삭제
ApproveButtonText,승인
RestrictedItemText,제한 상품:
SuspendReasonText4,보류: 제한됨
SecurityLogText,보안 로그:
SuspendReasonText5,보류: 보안
SignatureText,서명:
SignatureAndNameText,서명: %s
ConnectingLeadthru,NCR SelfServ Checkout에 연결 중... 잠시만 기다려 주십시오
EnterIDLeadthru,아래의 키패드를 이용해서 ID를 입력하십시오.
EnterPasswordLeadthru,아래의 키패드를 이용해서 패스워드를 입력하십시오.
LoggingInLeadthru,로그인 중… 잠시만 기다려 주십시오.
ApproveSecurityButtonText,보안 승인
ApprovalNeededButtonText,승인 필요
VerifySignatureButtonText,서명 \n확인
AllowSuspendButtonText,보류 허용
MainButtonText,메인
SuspendTransactionButtonText,거래 보류
ApproveAndCollectButtonText,승인 및 수집
ClearApprovalsButtonText,승인 내역 삭제
BirthDateOver30ButtonText,30 세 이상 출생 날짜
SignAgainButtonText,다시 서명
BackSpaceButtonText,백스페이스
EnterButtonText,입력
LaneNumberText,계산 통로: %d
RAPTitle,NCR SelfServ Checkout 원격 승인 스테이션
CancelSuspendText,보류 취소
OtherPaymentSelectedText,다른 지불 방식 선택됨
CouponCollectionText,쿠폰 컬렉션
PendingSuspendText,유보 중인 보류
SignatureApprovalText,서명 승인
LaneText,계산 통로
VideoButtonText,비디오
ClearButtonText,삭제
QuantityButtonText,수량
FeesAndCustomerAgreementsTitle,요금 및 고객 계약 내용:
FeesButtonText,요금
CustomerAgreementButtonText,고객 계약 내용
FeesAndCustomerAgreementsLeadthru,요금 및 고객 계약 내용
TransactionSuspendedText,보류된 거래
POSMessageText,POS 메시지:
ConnectingWaitingText,잠시만 기다려 주십시오. NCR SelfServ Checkout에 연결 중입니다...
DateOfBirthNotNeededButtonText,출생 날짜 필요하지 않음
AssistModeButtonText,도움 모드
ClearSecurityButtonText,보안 허용
VisualApproveButtonText,시각 승인
CheckAgeTitle,고객의 나이 확인
CouponLimitExceededTitle,쿠폰 한계 초과
VerifyItemAndPriceTitle,상품 및 가격 확인
UnknownItemTitle,알 수 없는 상품 유보
ItemNotForSaleTitle,판매용 상품 아님
ItemQuantityExceededTitle,상품 수량 초과됨
TimeRestrictedItemTitle,시간 제한 상품
CheckAgeLeadthru,고객의 출생 날짜 %s 입력 후 ’입력’ 누름
InvalidBirthDateFormatLeadthru,입력한 날짜의 형식이 올바르지 않습니다. \n%s 형식으로 다시 입력해 주십시오.
CouponLimitExceededLeadthru,‘승인’을 누르면 계산 통로에서 쿠폰을 적립할 수 있으며 ‘승인 및 수집’을 누르면 고객에게서 직접 받습니다.
VisualApproveLeadthru,"거래 내역을 수정하기 위해서는 '시각 승인'이나 '도움 모드'를 눌러 주십시오."
UnknownItemLeadthru,"계산 통로에서 상품들을 한 곳으로 모은 다음 '보안 허용'이나 '도움 모드'를 눌러서 거래를 완료합니다."
ItemNotForSaleLeadthru,"계산 통로에서 상품들을 한 곳으로 모은 다음 '보안 허용'을 눌러 주십시오."
OffLineLaneButtonText,오프라인
ExitText,나가기
EnterDataLaneButtonText,데이터 입력
AgeCheckLaneButtonText,나이 확인
CouponLaneButtonText,쿠폰
VoidLaneButtonText,무효
VerifyItemLaneButtonText,상품 확인
NotFoundLaneButtonText,찾을 수 없음
NoSaleLaneButtonText,판매하지 않음
QuantityLaneButtonText,수량
HelpLaneButtonText,도움
NoInterventionLeadthru,현재 직원이 개입이 필요하지 않습니다.
OffLineLeadthru,해당 계산 통로는 현재 오프라인이며 시스템에서 자동으로 연결을 다시 시도하고 있습니다.
CancelRequestButtonText,요청 취소
HelpRequestTitle,도움 요청됨
SecurityLaneButtonText,보안
VoidLeadthru,"무효화된 상품을 수집한 후 '무효 승인'을 눌러 주십시오."
ApproveVoidButtonText,무효 승인
SecurityLeadthru,"보안을 위해 고객 거래 내역을 관찰하고 '보안 해제'를 눌러 주십시오."
SecurityViolationText,보안 위반
OtherPaymentText,다른 지불 방식 선택됨
SuspendTransactionLeadthru,"'거래 보류' 또는 '도움 모드'를 누른 후 지불을 승인합니다."
EASText,EAS 상품 활성화 상태 유지
DeactivateLeadthru,"상품을 비활성화시키거나 하드 태그를 제거한 다음에 '보안 허용'을 눌러 주십시오."
CompareSignatureTitle,서명 비교
CompareSignatureLeadthru,"서명을 비교한 다음 '승인'을 누르거나 '다시 서명'을 눌러 주십시오."
EnterPriceLeadthru,"상품 가격을 입력한 다음 '입력'을 눌러 주십시오."
UtilityButtonText,유틸리티
ReturnToMainButtonText,메인으로 돌아감
GetDiagFilesButtonText,대화상자 파일 얻기
CouponApprovalLeadthru,"승인 스테이션에서 고객이 제시한 쿠폰을 승인한 다음 '승인'을 누르십시오."
RebootSystemButtonText,전체 시스템 다시 시작
ShutDownSystemButtonText,전체 시스템 종료
LaneStatusTitle,계산 통로 상태
LaneStatusLeadthru,기능 선택.
AgeRestrictedText,"나이 제한 상품, %2d 세"
BirthdateEnterText,"입력한 출생 날짜:%2d/%2d/%4d,%d 세"
HelpRequestLeadthru,"고객을 도와 드린 후 '요청 취소'를 누르십시오."
TotalText,총합:
ItemText,상품:
MultimediaTrainingText,멀티미디어 교육
VolumeControlButtonText,부피 제어
SecurityViolationNumText,보안 위반:
ItemPurchasedText,구매한 상품:
EnterPriceTitle,가격 입력
CancelTransactionGenericTitle,거래 취소
CancelTransactionGenericLeadthru,"'예'를 누르면 거래를 취소하고 '아니요'를 누르면 거래가 계속됩니다."
YesButtonText,예
NoButtonText,아니요
ConfirmSuspendTitle,보류:
ConfirmSuspendLeadthru,보류 내역을 확인하십시오.
ConfirmSuspendButtonText,보류 확인
IncorrectItemWeightTitle,보안 저울에서 부정확한 중량.
IncorrectItemWeightLeadthru,"상품을 제거한 다음 '보안 허용'을 누르거나 '중량 승인 및 업데이트'를 눌러 주십시오."
ApproveUpdateButtonText,중량 승인 및 업데이트
UnexpectedIncreaseTitle,보안 저울에 예상하지 못한 상품.
UnexpectedIncreaseLeadthru,"계산 통로로 가서 여분의 상품들을 제거한 다음 '보안 허용'을 눌러 주십시오."
SkipBaggingBtnThresholdLeadthru,"계산 통로에서 상품들을 확인한 다음 '보안 허용'을 눌러 주십시오."
NewWeightItemTitle,상품 중량에 대한 기록 없음.
NewWeightItemLeadthru,"상품 중량을 확인한 다음 '중량 승인 및 업데이트'를 누르거나 '승인/업데이트하지 않음'을 눌러 주십시오."
ApproveNoUpdateButtonText,승인/업데이트 않음.
BagItemTimerExpiredTitle,보안 저울에서 예상된 중량.
TakeChangeTimerExpiredTitle,거스름돈 받기
TakeChangeTimerExpiredBottomCaption,타이머 시간 초과
PickingUpItemsTimerExpiredTitle,상품이 장바구니 영역으로 반납되지 않음.
DeviceFailureTitle,장치 오작동
DeviceFailureLeadthru,계산 통로로 가서 장치를 점검해 주십시오.
WLDBFailureTitle,WLDB 통신이 올바로 수행되지 않음.
WLDBFailureLeadthru,통신을 점검해 주십시오.
UnexpectedDecreaseTitle,장바구니 영역에서 상품 제거.
ClosedLaneTitle,계산 통로로 가서 매장 모드로 로그인 한 다음 계산 통로를 열어 주십시오.
ClosedLaneLeadthru,계산 통로 닫기 완료
BagAreaBackupTitle,벨트 위의 뒤로 이동한 상품
BagAreaBackupLeadthru,벨트에서 뒤로 이동한 상품들을 제거해 주십시오.
MinimumAgeText,최소 나이.
SafetyCoverOpenLeadthru,모든 상품들을 벨트에서 제거한 다음 안전 커버를 닫아 주십시오.
VerifySignatureLeadthru,고객의 서명을 카드의 서명과 비교해 주십시오.
AssistedTenderTitle,오퍼레이터 도움 입찰
AssistedTenderLeadthru,고객이 수표로 결제하려고 할 경우 도움 모드를 이용하십시오.
AssistedTenderHHLeadthru,고객이 수표로 결제하려고 할 경우 도움 모드를 이용하십시오.
AssistedEndorsementLeadthru,배서 필요. 오퍼레이터가 도와 드릴 때까지 잠시만 기다려 주십시오.
StartTransactionButtonText,거래 시작
StartTransactionTitle,오퍼레이터 도움 기능
StartTransactionLeadthru,원하는 기능을 선택하십시오.
StartTransactionAMButtonText,시작 및 도움
ItemsForgottenTitle,거래 후 중량이 저울에\n남아 있습니다.
InsertCouponTimerExpiredTitle,쿠폰 삽
CollectGiftCardTitle,선물 카드 수집
HostOfflineLeadthru,해당 계산 통로는 현재 오프라인 상태이며  자동으로 연결을 다시 시도하고 있습니다.
SpaceButtonText,스페이스
LaneReceiptItemType1,%s\t%s
LaneReceiptItemType2,%s
LaneReceiptItemType3,%s\t%s\t수량 %s @ %s/단일 품목 당\t%s
LaneReceiptItemType4,%s\t%s\t수량 %s @ %s/%s\t%s
LaneReceiptItemType5,%s\t%s\t%ss @ %s %s/%s\t%s
LaneReceiptItemType6,%s\t%s\t%ss @ %s/%s\t%s
CloseLaneButtonText,계산 통로 닫기
ReportingButtonText,보고
KeyInCodeTitle,코드 입력
KeyInCodeLeadthru,"상품 코드를 입력한 다음 'OK'을 눌러 주십시오."
VoidItemButtonText,상품 무효화
ChangePriceButtonText,가격 변경
ChangeQuantityButtonText,수량 변경
ReturnToShoppingButtonText,쇼핑 모드로 돌아가기
BasicAssistModeTitle,도움 기능
BasicAssistModeLeadthru,상품 스캔 또는 기능 선택.
ChangePriceTitle,가격 변경
KeyInPriceLeadthru,다음에 대한 가격 입력: %d %s
VoidAllButtonText,모두 무효화
VoidItemTitle,상품 무효화
VoidItemLeadthru,"상품을 스캔하거나 영수증 상의 상품으로 스크롤해서 '상품 무효화'나 '모두 무효화'를 눌러 주십시오."
ChangeQuantityTitle,수량 변경
KeyInQuantityLeadthru,다음에 대한 수량 입력: %s
FullAssistButtonText,전체 도움
CloseButtonText,닫기
UpdateItemLeadthru,"영수증 상의 상품으로 스크롤 해서 '입력'을 누르십시오."
OKButtonText,확인
CouponNoMatchLeadthru,쿠폰이 영수증 상의 어떠한 상품과도 일치하지 않습니다. 따라서 이 쿠폰은 사용할 수 없습니다.
CouponTooHighLeadthru,이 쿠폰에 대해 입력한 금액이 너무 높습니다.  이 시스템은 이 쿠폰을 받을 수 없습니다.
EnterCouponValueLeadthru,"쿠폰의 금액을 원 단위로 입력한 다음 '입력'을 눌러 주십시오."
ItemQuantityExceededLeadthru,이 상품에 대해 허용된 금액을 초과했습니다.  상품을 유보한 다음 계속 진행해 주십시오.
ProcessingLeadthru,처리 중...잠시만 기다려 주십시오.
VoidNoMatchLeadthru,스캔한 상품을 찾을 수 없습니다.  아직 구입이 되지 않았거나 이미 취소되었습니다.
ConfirmAbortLeadthru,계산을 중단하고 전체 구입 내역을 취소하시겠습니까?
ContinueTransLeadthru,구입을 계속하시겠습니까?
ConfirmQuantityTitle,수량 승인
ConfirmVoidTitle,취소 승인
CouponNoMatchTitle,일치하지 않는 쿠폰
CouponTooHighTitle,쿠폰 금액 너무 높음
CrateableItemTitle,상자 단위 구입
EnterCouponValueTitle,쿠폰 금액 입력
EnterQuantityLeadthru,"수량을 입력한 다음 '입력'을 눌러 주십시오."
EnterWeightTitle,상품 중량 측정
EnterWeightLeadthru,상품을 저울에 위치시키십시오.
AMItemQuantityExceededTitle,수량 제한
ProcessingTitle,처리 중…
SelectContainerTitle,용기를 선택하십시오
SelectContainerLeadthru,"목록 내의 용기로 스크롤한 다음 '입력'을 눌러 주십시오."
VoidNoMatchTitle,상품 취소 불가능
ConfirmAbortTitle,모든 상품 취소
ContinueTransTitle,계속하시겠습니까?
ScaleBrokenTitle,저울 재설정
ScaleBrokenLeadthru,"상품을 저울에서 제거한 다음 스캐너의 '저울 영점' 단추를 눌러 주십시오."
UpdateNotAllowedTitle,상품 업데이트 실패
UpdateNotAllowedLeadthru,무게를 측정한 물품에 대해 수량을 변경할 수 없습니다.
SmEnterBirthdateTitle,제한 상품
SmEnterBirthdateLeadthru,날짜 입력
SmVisualItemsTitle,시각적 확인
SmVisualItemsLeadthru,시각적 확인 상품 승인
SmCouponItemsTitle,사용한 쿠폰 승인
SmCouponItemsLeadthru,사용한 쿠폰 확인
SmRestrictedItemsTitle,제한 상품
SmRestrictedItemsLeadthru,원하는 기능을 선택하십시오.
KeyInBirthDateButtonText,날짜 입력
KeyInCodeButtonText,코드 \n입력
SmRunReportsTitle,보고서 내용
PrintReportButtonText,보고서 인쇄
LaneReceiptItemType7,    %s
AM_RestrictedNotAllowedTitle,제한 상품
AM_RestrictedNotAllowedLeadthru,제한 상품이 취소되었습니다 – 연령 제한 충족되지 않음. \n\n상품을 유보해 주십시오.
TransactionCancelTitle,거래 취소
TransactionCancelLeadThru,거래 취소됨 제거 이 계산대에서의 \n상품
OutOfSyncNeedAssistTitle,도움 모드를 사용해야 함
OutOfSyncNeedAssistLeadthru,POS가 동기화에서 벗어 났습니다.  다시 동기화하기 위해 도움 모드를 사용해 주십시오.
OutOfSyncStopTitle,다시 시작해야 함
OutOfSyncStopLeadthru,POS 서버가 오프라인이거나 동기화에서 벗어났습니다. 터미널을 꺼 주십시오.
MultiPackItemTitle,멀티 팩 확인
MultiPackItemLeadthru,상품이 멀티 팩인 경우 ‘도움 모드’를 눌러서 취소한 다음 멀티 팩 바코드를 스캔해 주십시오.
CancelActionButtonText,활동 취소
EnterIDFpLeadthru,사용자 ID를 입력하고 ‘입력’을 누르거나 손가락을 지문 인식 장치에 위치시켜서 로그인합니다.
ReEnterIDFpLeadthru,잘못된 로그인. 키패드나 지문을 이용해서 다시 로그인해 주십시오.
HH_SuspendLeadthru1,현재 거래를 보류하시겠습니까? 승인 또는 취소.
HH_SuspendLeadthru2,현재 거래가 보류되었습니다. 승인. 취소하려면 ‘뒤로 이동’을 누른 다음 취소하십시오.
HH_ReEnterIDLeadthru,잘못된 ID 또는 패스워드. 키패드에서 다시 입력해 주십시오.
HH_CheckAgeLeadthru,고객의 출생 날짜 %s 입력 후 ’입력’ 누름
HH_CouponLimitExceededLeadthru,계산 통로에서 쿠폰 ‘승인’을 누르거나 고객에게서 수집할 경우 ‘승인 및 수집’.
HH_VisualApproveLeadthru,"거래 내역을 수정하기 위해서는 '시각 승인'이나 '도움 모드'."
HH_VisualApproveLeadthru2,"""Visual Approve"", or ""Assist Mode"" at Lane to modify."
HH_UnknownItemLeadthru,"상품 수집, ‘보안 허용’ 또는 ‘도움 모드’로 완료."
HH_UnknownItemLeadthru2,"Collect item, ""Clear Security"", or use ""Assist Mode"" at Lane to complete."
HH_ItemNotForSaleLeadthru,"계산 통로에서 상품들을 한 곳으로 모은 다음 '보안 허용'."
HH_NoInterventionLeadthru,직원이 개입이 필요하지 않움.
HH_OffLineLeadthru,계산 통로 오프라인. 시스템 재연결 시도 중.
HH_InvalidBirthDateFormatLeadthru,날짜 형식이 올바르지 않음\n%s 형식으로 입력.
HH_VoidLeadthru,"무효화된 물품 수집 후 '무효 승인'."
HH_SuspendTransactionLeadthru,거래를 보류하려면 “거래 보류”를 눌러 주십시오.
HH_DeactivateLeadthru,"물품을 비활성화시키거나 하드 태그를 제거한 다음에 '보안 허용'."
HH_CompareSignatureLeadthru,"서명을 비교한 다음 '승인' 또는 '다시 서명'."
HH_EnterPriceLeadthru,"상품 가격을 입력한 다음 '입력'."
HH_CouponApprovalLeadthru,고객에게서 쿠폰을 허용한 다음 ‘승인’.
HH_HelpRequestLeadthru,"고객을 도와 드린 후 '요청 취소'."
HH_CancelTransactionGenericLeadthru,"'예'를 누르면 거래를 취소하고 '아니요'를 누르면 거래가 계속."
HH_IncorrectItemWeightLeadthru,"상품을 제거한 다음 '보안 허용'을 누르거나 '중량 승인 및 업데이트'."
HH_UnexpectedIncreaseLeadthru,"계산 통로에서 여분의 상품들을 제거한 다음 '보안 허용'."
HH_SkipBaggingBtnThresholdLeadthru,"계산 통로에서 상품들을 확인한 다음 '보안 허용'."
HH_NewWeightItemLeadthru,무게를 확인 한 다음 ‘중량 승인 및 업데이트’ 또는 ‘승인/업데이트 않음’.
HH_SafetyCoverOpenLeadthru,벨트에서 모든 상품 제거. 안전 커버 닫음.
HH_VerifySignatureLeadthru,고객의 서명을 카드 서명과 비교.
HH_AssistedEndorsementLeadthru,배서 필요. 오퍼레이터 도움 대기.
HH_HostOfflineLeadthru,계산 통로 오프라인. 시스템 재연결 시도 중.
HH_KeyInCodeLeadthru,"상품 코드를 입력한 다음 '입력'."
HH_VoidItemLeadthru,영수증 상의 상품 스캔 또는 스크롤. ‘상품 무효화’ 또는 ‘모두 무효화’.
